TERM,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228
6,393.651,406.991,420.332,433.672,447.013,460.353,473.694,487.034,500.374,513.715,527.055,540.396,553.736,568.445,583.153,597.862,612.570,627.279,641.988,656.696,671.405,686.113,700.822,715.531,730.239,746.426,762.613,778.800,794.987,811.174,827.361,843.548,859.735,875.922,892.109,908.296,924.483,677.574,680.666,683.757,686.848,689.940,693.031,696.122,699.214,702.305,705.396,708.488,711.579,463.695,465.810,467.926,470.041,472.157,474.273,476.388,478.504,480.619,482.735,484.850,486.966,238.052,239.138,240.225,241.311,242.397,243.483,244.569,245.655,246.742,247.828,248.914,250.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,319.825,330.663,341.502,352.340,363.179,374.017,384.856,395.694,406.533,417.371,428.210,439.048,449.887,461.837,473.787,485.737,497.687,509.638,521.588,533.538,545.488,557.438,569.388,581.338,593.289,606.440,619.591,632.742,645.893,659.045,672.196,685.347,698.498,711.650,724.801,737.952,751.103,765.551,780.000,794.448,808.896,823.345,837.793,852.241,866.690,881.138,895.586,910.035,924.483,677.574,680.666,683.757,686.848,689.940,693.031,696.122,699.214,702.305,705.396,708.488,711.579,463.695,465.810,467.926,470.041,472.157,474.273,476.388,478.504,480.619,482.735,484.850,486.966,238.052,239.138,240.225,241.311,242.397,243.483,244.569,245.655,246.742,247.828,248.914,250.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,265.257,274.247,283.236,292.225,301.215,310.204,319.193,328.182,337.172,346.161,355.150,364.140,373.129,383.040,392.951,402.863,412.774,422.685,432.596,442.508,452.419,462.330,472.241,482.153,492.064,502.971,513.879,524.786,535.694,546.601,557.508,568.416,579.323,590.231,601.138,612.046,622.953,634.936,646.919,658.903,670.886,682.869,694.852,706.835,718.818,730.802,742.785,754.768,766.751,779.895,793.040,806.184,819.328,832.473,845.617,858.761,871.906,885.050,898.194,911.339,924.483,677.574,680.666,683.757,686.848,689.940,693.031,696.122,699.214,702.305,705.396,708.488,711.579,463.695,465.810,467.926,470.041,472.157,474.273,476.388,478.504,480.619,482.735,484.850,486.966,238.052,239.138,240.225,241.311,242.397,243.483,244.569,245.655,246.742,247.828,248.914,250.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,223.492,231.066,238.640,246.214,253.788,261.362,268.936,276.510,284.084,291.657,299.231,306.805,314.379,322.730,331.081,339.431,347.782,356.133,364.483,372.834,381.185,389.536,397.886,406.237,414.588,423.778,432.968,442.158,451.348,460.538,469.728,478.918,488.108,497.298,506.488,515.678,524.868,534.964,545.061,555.157,565.254,575.350,585.447,595.543,605.640,615.736,625.832,635.929,646.025,657.100,668.175,679.249,690.324,701.399,712.474,723.548,734.623,745.698,756.772,767.847,778.922,791.052,803.182,815.312,827.442,839.572,851.702,863.832,875.963,888.093,900.223,912.353,924.483,677.574,680.666,683.757,686.848,689.940,693.031,696.122,699.214,702.305,705.396,708.488,711.579,463.695,465.810,467.926,470.041,472.157,474.273,476.388,478.504,480.619,482.735,484.850,486.966,238.052,239.138,240.225,241.311,242.397,243.483,244.569,245.655,246.742,247.828,248.914,250.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,190.657,197.118,203.579,210.040,216.502,222.963,229.424,235.885,242.346,248.807,255.268,261.730,268.191,275.315,282.438,289.562,296.686,303.810,310.934,318.057,325.181,332.305,339.429,346.553,353.677,361.516,369.356,377.196,385.036,392.876,400.716,408.556,416.395,424.235,432.075,439.915,447.755,456.368,464.981,473.594,482.207,490.820,499.433,508.046,516.659,525.272,533.885,542.498,551.111,560.559,570.007,579.454,588.902,598.350,607.797,617.245,626.693,636.140,645.588,655.036,664.483,674.831,685.179,695.527,705.875,716.223,726.571,736.919,747.267,757.615,767.962,778.310,788.658,799.977,811.296,822.614,833.933,845.252,856.571,867.889,879.208,890.527,901.846,913.164,924.483,677.574,680.666,683.757,686.848,689.940,693.031,696.122,699.214,702.305,705.396,708.488,711.579,463.695,465.810,467.926,470.041,472.157,474.273,476.388,478.504,480.619,482.735,484.850,486.966,238.052,239.138,240.225,241.311,242.397,243.483,244.569,245.655,246.742,247.828,248.914,250.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,164.289,169.856,175.424,180.991,186.559,192.126,197.694,203.262,208.829,214.397,219.964,225.532,231.099,237.238,243.376,249.515,255.654,261.792,267.931,274.069,280.208,286.347,292.485,298.624,304.762,311.518,318.273,325.029,331.784,338.540,345.296,352.051,358.807,365.562,372.318,379.073,385.829,393.251,400.673,408.095,415.516,422.938,430.360,437.782,445.204,452.626,460.048,467.470,474.891,483.032,491.173,499.314,507.455,515.596,523.737,531.878,540.019,548.160,556.301,564.442,572.583,581.500,590.417,599.334,608.251,617.167,626.084,635.001,643.918,652.835,661.751,670.668,679.585,689.338,699.092,708.845,718.598,728.352,738.105,747.858,757.611,767.365,777.118,786.871,796.625,807.279,817.934,828.589,839.244,849.899,860.554,871.209,881.864,892.518,903.173,913.828,924.483,677.574,680.666,683.757,686.848,689.940,693.031,696.122,699.214,702.305,705.396,708.488,711.579,463.695,465.810,467.926,470.041,472.157,474.273,476.388,478.504,480.619,482.735,484.850,486.966,238.052,239.138,240.225,241.311,242.397,243.483,244.569,245.655,246.742,247.828,248.914,250.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,142.747,147.584,152.422,157.259,162.097,166.934,171.772,176.610,181.447,186.285,191.122,195.960,200.797,206.131,211.465,216.798,222.132,227.466,232.799,238.133,243.467,248.800,254.134,259.468,264.801,270.671,276.541,282.411,288.280,294.150,300.020,305.890,311.759,317.629,323.499,329.369,335.239,341.687,348.136,354.585,361.033,367.482,373.931,380.379,386.828,393.277,399.725,406.174,412.623,419.696,426.770,433.843,440.917,447.990,455.064,462.138,469.211,476.285,483.358,490.432,497.505,505.253,513.001,520.748,528.496,536.243,543.991,551.739,559.486,567.234,574.981,582.729,590.477,598.951,607.425,615.900,624.374,632.849,641.323,649.798,658.272,666.747,675.221,683.696,692.170,701.428,710.686,719.943,729.201,738.459,747.717,756.974,766.232,775.490,784.748,794.005,803.263,813.365,823.466,833.568,843.670,853.771,863.873,873.975,884.076,894.178,904.280,914.381,924.483,677.574,680.666,683.757,686.848,689.940,693.031,696.122,699.214,702.305,705.396,708.488,711.579,463.695,465.810,467.926,470.041,472.157,474.273,476.388,478.504,480.619,482.735,484.850,486.966,238.052,239.138,240.225,241.311,242.397,243.483,244.569,245.655,246.742,247.828,248.914,250.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,124.897,129.130,133.362,137.595,141.827,146.060,150.293,154.525,158.758,162.990,167.223,171.456,175.688,180.355,185.022,189.689,194.355,199.022,203.689,208.356,213.022,217.689,222.356,227.022,231.689,236.825,241.961,247.097,252.232,257.368,262.504,267.640,272.775,277.911,283.047,288.183,293.318,298.961,304.603,310.245,315.888,321.530,327.172,332.815,338.457,344.099,349.741,355.384,361.026,367.215,373.404,379.593,385.782,391.971,398.160,404.349,410.538,416.727,422.916,429.105,435.294,442.073,448.852,455.631,462.409,469.188,475.967,482.746,489.525,496.304,503.082,509.861,516.640,524.055,531.470,538.884,546.299,553.714,561.129,568.543,575.958,583.373,590.787,598.202,605.617,613.717,621.817,629.917,638.018,646.118,654.218,662.318,670.418,678.518,686.618,694.719,702.819,711.657,720.496,729.334,738.173,747.011,755.850,764.688,773.526,782.365,791.203,800.042,808.880,818.514,828.147,837.781,847.415,857.048,866.682,876.315,885.949,895.582,905.216,914.849,924.483,677.574,680.666,683.757,686.848,689.940,693.031,696.122,699.214,702.305,705.396,708.488,711.579,463.695,465.810,467.926,470.041,472.157,474.273,476.388,478.504,480.619,482.735,484.850,486.966,238.052,239.138,240.225,241.311,242.397,243.483,244.569,245.655,246.742,247.828,248.914,250.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,109.930,113.655,117.380,121.106,124.831,128.557,132.282,136.007,139.733,143.458,147.184,150.909,154.634,158.742,162.849,166.957,171.064,175.172,179.279,183.387,187.494,191.602,195.709,199.816,203.924,208.444,212.965,217.485,222.005,226.526,231.046,235.566,240.087,244.607,249.127,253.648,258.168,263.134,268.100,273.066,278.033,282.999,287.965,292.931,297.897,302.863,307.829,312.795,317.762,323.209,328.656,334.104,339.551,344.998,350.446,355.893,361.340,366.788,372.235,377.682,383.130,389.096,395.063,401.029,406.995,412.962,418.928,424.895,430.861,436.828,442.794,448.760,454.727,461.253,467.779,474.306,480.832,487.358,493.884,500.410,506.937,513.463,519.989,526.515,533.041,540.171,547.300,554.430,561.559,568.689,575.818,582.947,590.077,597.206,604.336,611.465,618.594,626.374,634.153,641.932,649.712,657.491,665.270,673.050,680.829,688.608,696.388,704.167,711.946,720.425,728.904,737.383,745.863,754.342,762.821,771.300,779.779,788.258,796.737,805.216,813.695,822.927,832.160,841.392,850.624,859.857,869.089,878.321,887.554,896.786,906.018,915.251,924.483,677.574,680.666,683.757,686.848,689.940,693.031,696.122,699.214,702.305,705.396,708.488,711.579,463.695,465.810,467.926,470.041,472.157,474.273,476.388,478.504,480.619,482.735,484.850,486.966,238.052,239.138,240.225,241.311,242.397,243.483,244.569,245.655,246.742,247.828,248.914,250.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
