TERM,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179
6,431.306,445.702,460.098,474.493,488.889,503.285,517.881,532.076,546.472,560.86,575.264,589.659,604.055,619.817,635.576,651.341,667.103,682.865,698.627,714.388,730.15,745.912,761.674,777.436,793.198,810.432,827.665,844.899,862.132,879.366,896.599,913.833,931.066,948.3,965.533,982.767,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,351.859,363.603,375.347,387.091,398.835,410.579,422.323,434.066,445.81,457.554,469.298,481.042,492.786,505.644,518.503,531.361,544.219,557.077,569.936,582.794,595.652,608.51,621.369,634.227,647.085,661.144,675.202,686.261,703.32,717.378,731.437,745.496,759.554,773.613,787.672,801.73,815.789,831.14,846.491,861.841,877.193,892.544,907.895,923.245,938.596,953.947,969.298,984.649,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,293.004,302.782,312.563,322.342,332.121,341.901,351.68,361.459,371.239,381.018,390.797,400.577,410.356,421.063,431.771,442.478,453.185,463.892,474.6,485.307,496.014,506.721,517.429,528.136,538.843,550.55,562.257,573.963,585.67,597.377,609.084,620.79,632.497,644.204,655.911,667.617,679.324,692.107,704.889,717.672,730.454,743.237,756.02,768.802,781.585,794.367,807.15,819.932,832.715,846.655,860.596,874.536,888.477,902.417,916.358,930.298,944.238,958.179,972.119,986.06,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,247.848,256.12,264.392,272.665,280.937,289.209,297.481,305.753,314.025,322.298,330.57,338.842,347.114,356.171,365.228,374.285,383.342,392.399,401.456,410.512,419.569,428.626,437.683,446.74,455.797,465.699,475.602,485.504,495.406,505.308,515.211,525.113,535.015,544.917,554.82,564.722,574.624,585.436,596.248,607.061,617.873,628.685,639.497,650.309,661.121,671.934,682.746,693.558,705.37,716.161,727.953,739.744,751.535,763.327,775.118,786.909,798.701,810.492,822.283,834.075,845.866,858.711,871.555,884.4,897.244,910.089,922.933,935.778,948.622,961.467,974.311,987.156,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,212.259,219.343,226.427,233.512,240.596,247.68,254.764,261.848,268.932,276.017,283.101,290.185,297.269,305.025,312.781,320.538,328.294,336.05,343.806,351.562,359.318,367.075,374.831,382.587,390.343,398.823,407.303,415.783,424.263,432.743,441.223,449.703,458.183,466.663,475.143,483.623,492.103,501.362,510.621,519.881,529.14,538.399,547.658,556.917,566.176,575.436,584.695,593.954,603.213,613.311,623.408,633.506,643.603,653.701,663.798,673.896,683.993,694.091,704.188,714.286,724.383,735.382,746.382,757.381,768.38,779.379,790.379,801.378,812.377,823.376,834.376,845.375,856.375,868.343,880.312,892.281,904.249,916.218,928.187,940.156,952.125,964.094,976.062,988.031,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,183.604,189.732,195.86,201.987,208.115,214.243,220.371,226.498,232.626,238.754,244.882,251.009,257.137,263.846,270.555,277.264,283.973,290.682,297.391,304.009,310.808,317.517,324.226,330.935,337.644,344.979,352.314,359.649,366.984,374.319,381.654,388.989,396.324,403.659,410.994,418.329,425.664,433.673,441.682,449.69,457.699,465.708,473.717,481.725,489.734,497.743,505.752,513.76,521.769,530.503,539.237,547.97,556.704,565.438,574.172,582.905,591.639,600.373,609.107,617.84,626.574,636.088,645.601,655.115,664.629,674.142,683.656,693.17,702.683,712.197,721.711,731.224,740.738,751.09,761.442,771.794,782.146,792.498,802.85,813.202,823.554,833.906,844.258,854.61,864.962,876.215,887.468,898.722,909.975,921.228,932.481,943.734,954.987,966.241,977.494,988.747,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,160.133,165.477,170.822,176.166,181.51,186.854,192.199,197.543,202.887,208.231,213.576,218.92,224.264,230.115,235.966,241.818,247.669,253.52,259.371,265.222,271.073,276.925,282.776,288.627,294.478,300.875,307.272,313.669,320.066,326.463,332.86,339.256,345.653,352.05,358.447,364.844,371.241,378.226,385.21,392.195,399.179,406.164,413.149,420.133,427.118,434.102,441.087,448.071,455.056,462.673,470.29,477.906,485.523,493.14,500.757,508.373,515.99,523.607,531.224,538.84,546.457,554.754,563.051,571.347,579.644,587.941,596.238,604.534,612.831,621.128,629.425,637.721,646.018,655.046,664.073,673.101,682.129,691.156,700.184,709.212,718.239,727.267,736.295,745.322,754.35,764.163,773.977,783.79,793.603,803.417,813.23,823.043,832.857,842.67,852.483,862.297,872.11,882.768,893.425,904.083,914.74,925.398,936.055,946.713,957.37,968.028,978.685,989.343,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,140.632,145.325,150.019,154.712,159.405,164.099,168.792,173.485,178.179,182.872,187.565,192.259,196.952,202.09,207.229,212.367,217.505,222.644,227.782,232.92,238.059,243.197,248.335,253.474,258.612,264.23,269.848,275.465,281.083,286.701,292.319,297.936,303.554,309.172,314.79,320.407,326.025,332.159,338.292,344.426,350.559,356.693,362.827,368.96,375.094,381.227,387.361,393.494,399.628,406.317,413.005,419.694,426.383,433.071,439.76,446.449,453.137,459.826,466.515,473.203,479.892,487.178,494.463,501.749,509.035,516.32,523.606,530.892,538.177,545.463,552.749,560.034,567.32,575.247,583.175,591.102,599.03,606.957,614.885,622.812,630.739,638.667,646.594,654.522,662.449,671.066,679.683,688.301,696.918,705.535,714.152,722.769,731.386,740.004,748.621,757.238,765.855,775.213,784.571,793.929,803.287,812.645,822.004,831.362,840.72,850.078,859.436,868.794,878.152,888.306,898.46,908.614,918.768,928.922,939.076,949.23,959.23,969.538,979.692,989.846,1000,,,,,,,,,,,,,,,,,,,,,,,
14,124.235,128.381,132.527,136.672,140.819,144.965,149.111,153.257,157.403,161.549,165.695,169.841,173.987,178.526,183.065,187.605,192.144,196.683,201.222,205.761,210.3,214.84,219.379,223.918,228.457,233.419,238.382,243.344,248.307,253.269,258.232,263.194,268.156,273.119,278.081,283.044,288.006,293.424,298.842,304.261,309.679,315.097,320.515,325.933,331.351,336.77,342.188,347.606,353.024,358.932,364.841,370.749,376.658,382.566,388.475,394.383,400.291,406.2,412.108,418.017,423.925,430.361,436.796,443.232,449.667,456.103,462.539,468.974,475.41,481.845,488.281,494.716,,508.154,515.157,522.159,529.161,536.164,543.166,550.168,557.171,564.173,571.175,578.178,585.18,592.791,600.403,608.014,615.625,623.237,630.848,638.459,646.071,653.682,661.293,668.905,676.516,684.782,693.047,701.313,709.579,717.844,726.11,734.376,742.641,750.907,759.173,767.438,775.704,784.672,793.641,802.608,811.577,820.546,829.514,838.482,847.451,856.419,865.387,874.356,883.324,893.047,902.77,912.493,922.216,931.939,941.662,951.385,961.108,970.831,980.554,990.277,1000,,,,,,,,,,,
